OriginAirportID,OriginAirportName
15304,Tampa International
14747,Seattle/Tacoma International
13931,Norfolk International
13796,Metropolitan Oakland International
12264,Washington Dulles International
13930,Chicago O'Hare International
12892,Los Angeles International
13204,Orlando International
10821,Baltimore/Washington International Thurgood Marshall
14107,Phoenix Sky Harbor International
12889,McCarran International
12191,William P Hobby
11292,Denver International
11433,Detroit Metro Wayne County
13871,Eppley Airfield
14893,Sacramento International
10397,Hartsfield-Jackson Atlanta International
14869,Salt Lake City International
10721,Logan International
12266,George Bush Intercontinental/Houston
14683,San Antonio International
14771,San Francisco International
13487,Minneapolis-St Paul International
13198,Kansas City International
11057,Charlotte Douglas International
11066,Port Columbus International
11042,Cleveland-Hopkins International
11618,Newark Liberty International
10693,Nashville International
14100,Philadelphia International
10529,Bradley International
13891,Ontario International
11259,Dallas Love Field
14679,San Diego International
14843,Luis Munoz Marin International
14057,Portland International
12954,Long Beach Airport
12953,LaGuardia
12339,Indianapolis International
11298,Dallas/Fort Worth International
10792,Buffalo Niagara International
14831,Norman Y. Mineta San Jose International
14122,Pittsburgh International
13232,Chicago Midway International
13303,Miami International
14908,John Wayne Airport-Orange County
12478,John F. Kennedy International
10800,Bob Hope
13495,Louis Armstrong New Orleans International
14524,Richmond International
11697,Fort Lauderdale-Hollywood International
13342,General Mitchell International
14570,Reno/Tahoe International
10423,Austin - Bergstrom International
15016,Lambert-St. Louis International
10140,Albuquerque International Sunport
11278,Ronald Reagan Washington National
12451,Jacksonville International
15376,Tucson International
14307,Theodore Francis Green State
10299,Ted Stevens Anchorage International
13851,Will Rogers World
12173,Honolulu International
11193,Cincinnati/Northern Kentucky International
14027,Palm Beach International
14492,Raleigh-Durham International
14635,Southwest Florida International
13244,Memphis International
13830,Kahului Airport
14730,Louisville International-Standiford Field
